month,average_price
2015-01-31,1.412775923427842
2015-02-28,0.9533057338178016
2015-03-31,0.7602822930059717
2015-04-30,0.3575619483405571
2015-05-31,0.1469837125311592
2015-06-30,0.0646952578718988
2015-07-31,0.0387061834016899
2015-08-31,0.0259092024122564
2015-09-30,0.0207392292523838
2015-10-31,0.0203807485604137
2015-11-30,0.0230359555560061
2015-12-31,0.0095716344298263
2016-01-31,0.0030859731851579
2016-02-29,0.0014385659569688
2016-03-31,0.0010694770805137
2016-04-30,0.0007021519604361
2016-05-31,0.0004898088427177
2016-06-30,0.0002239241274575
2016-07-31,0.0001127532611159
2016-08-31,5.147639310799704e-05
2016-09-30,3.642824599661271e-05
2016-10-31,1.94609929875407e-05
2016-11-30,9.611485934344878e-06
2016-12-31,7.847930086409082e-06
2017-01-31,5.431431922874346e-06
2017-02-28,6.402014700753195e-06
2017-03-31,3.917449232254384e-06
2017-04-30,2.0895630955659416e-06
2017-05-31,1.130438340402912e-06
2017-06-30,9.450317971952788e-07
2017-07-31,6.378427902354155e-07
2017-08-31,3.280924678355515e-07
2017-09-30,1.6542610886623212
2017-10-31,1.4750694106392714
2017-11-30,0.8886398050662838
2017-12-31,0.5549335152809021
2018-01-31,0.3445958064046208
2018-02-28,0.2294576340555822
2018-03-31,0.204396698305843
2018-04-30,0.1575867534276314
2018-05-31,0.0847762649086513
2018-06-30,0.0386088596037125
2018-07-31,0.0203269402101949
2018-08-31,0.0180495996896417
2018-09-30,0.0121606051347096
2018-10-31,0.0066638901255931
2018-11-30,0.0029707002984588
2018-12-31,0.0010351745867971
2019-01-31,0.001167099039853
2019-02-28,1.764447815527843
2019-03-31,3.682714722756383
2019-04-30,2.9492397648547577
2019-05-31,2.4040292774669085
2019-06-30,1.7853189630285045
2019-07-31,0.7655395026372035
2019-08-31,0.3143507536140554
2019-09-30,0.2689470159525064
2019-10-31,0.2202862568759837
2019-11-30,0.1652518374874903
2019-12-31,0.114102042404834
