month,average_price
2015-01-31,9.440220767385822
2015-02-28,9.18803543453278
2015-03-31,9.65847435032176
2015-04-30,10.2845287447978
2015-05-31,11.10378095979327
2015-06-30,11.970516409345452
2015-07-31,11.910877401153533
2015-08-31,13.098587703459549
2015-09-30,13.150878134413976
2015-10-31,12.995593067217646
2015-11-30,13.34192728270466
2015-12-31,13.5795097001314
2016-01-31,13.820463043886964
2016-02-29,14.756676888634937
2016-03-31,16.601808085659822
2016-04-30,18.30474778641956
2016-05-31,20.495456786146804
2016-06-30,21.67452967267377
2016-07-31,22.376277999227987
2016-08-31,23.723325663464674
2016-09-30,24.36014686721247
2016-10-31,25.594982673019427
2016-11-30,29.416582154646413
2016-12-31,32.384751457188855
2017-01-31,34.23222130604088
2017-02-28,37.28740775518146
2017-03-31,38.00284957713239
2017-04-30,37.92561646124268
2017-05-31,41.7032658530408
2017-06-30,42.97567830648403
2017-07-31,44.743473368631335
2017-08-31,47.95253482061028
2017-09-30,45.65262144408587
2017-10-31,43.57666055932154
2017-11-30,48.21999110602944
2017-12-31,53.72338041624879
2018-01-31,53.006095799920764
2018-02-28,56.26964175427709
2018-03-31,58.718693350889176
2018-04-30,65.24143425886778
2018-05-31,73.85488269371581
2018-06-30,83.03222593885006
2018-07-31,91.14313784559916
2018-08-31,102.77662340205684
2018-09-30,110.5334425922742
2018-10-31,107.66209704291133
2018-11-30,109.17507859775928
2018-12-31,107.98704782153898
2019-01-31,110.05766387040644
2019-02-28,127.84199856232831
2019-03-31,136.36793760572056
2019-04-30,137.43159121680668
2019-05-31,140.251735492452
2019-06-30,157.2278528409123
2019-07-31,170.3049046289856
2019-08-31,163.4329049306615
2019-09-30,184.09428578466785
2019-10-31,198.2856288044536
2019-11-30,210.82858209061263
2019-12-31,200.8318890477368
