month,average_price
2015-01-31,50.93226051923955
2015-02-28,46.43629716016041
2015-03-31,24.08382023568398
2015-04-30,25.509141574517376
2015-05-31,25.772543699252907
2015-06-30,21.109015055005287
2015-07-31,18.746336744542862
2015-08-31,12.88900119652823
2015-09-30,9.937852465894514
2015-10-31,11.340333784524718
2015-11-30,17.513960702967474
2015-12-31,18.128095599687946
2016-01-31,22.384773106523344
2016-02-29,20.60405643208701
2016-03-31,19.94620803567849
2016-04-30,15.148174328380303
2016-05-31,12.812182207333166
2016-06-30,18.837262849557437
2016-07-31,30.06555154444576
2016-08-31,24.83011047967808
2016-09-30,21.26022481402019
2016-10-31,21.385394504427857
2016-11-30,18.75078501368243
2016-12-31,17.54593181416208
2017-01-31,13.195916179457452
2017-02-28,10.607498928277844
2017-03-31,11.78733197357062
2017-04-30,9.077708909798265
2017-05-31,7.730022424715964
2017-06-30,6.902704515726672
2017-07-31,6.9039489802422
2017-08-31,8.069054566806416
2017-09-30,4.014165407955453
2017-10-31,2.1717398441797684
2017-11-30,1.6197018755550532
2017-12-31,1.8322878443534043
2018-01-31,1.59022780912365
2018-02-28,1.2168097360208456
2018-03-31,0.9924237539330182
2018-04-30,0.1067521684119003
2018-05-31,-0.8787594122761869
2018-06-30,-1.064920086363652
2018-07-31,-0.7894894201028501
2018-08-31,-0.6867632104247503
2018-09-30,-0.5799218227265348
2018-10-31,-0.6406093986072459
2018-11-30,-0.8986519572001067
2018-12-31,-0.8900080671994013
2019-01-31,-0.534393832204155
2019-02-28,-1.8735048155942071
2019-03-31,-2.6354406965660626
2019-04-30,-3.220115814894041
2019-05-31,-4.154417881345055
2019-06-30,-6.079073667998232
2019-07-31,-5.49701023316791
2019-08-31,-4.499013903737611
2019-09-30,-4.941751303215499
2019-10-31,-4.690937387198402
2019-11-30,-3.366258123525778
2019-12-31,-2.841416884907023
